Date,Store,Fuel_Price,Pred_Fuel_Pric,CPI,Pred_CPI,Temperature_C,Pred_Temp,Unemployment,Pred_Unem,Weekly_Sales,Pred_Week_Sales,Ave_Sales,Proph_Label,Model_Label_Pred,Model_Label_Real,Real_Label
2012-01-08,1,3.26,3.1104026854555764,219.8925,219.97937666241486,9.0,21.654106607901443,7.348,7.758390853270607,1459601.1700000006,1606047.5118354843,1555264.3975524479,Average,Above,Above,Average
2012-01-15,1,3.27,3.0904480654697597,219.9857,220.19006980762504,12.0,21.695015440841914,7.348,7.748474042958445,1394393.8400000005,1607312.1197650114,1555264.3975524479,Average,Above,Below,Average
2012-01-22,1,3.29,3.0704934454839425,220.0789,220.4007629528352,12.0,21.735924273782377,7.348,7.738557232646286,1319325.5899999996,1608576.7276945384,1555264.3975524479,Average,Above,Below,Below
2012-01-29,1,3.36,3.050538825498125,220.172,220.61145609804547,14.0,21.77683310672285,7.348,7.728640422334125,1636339.65,1609841.3356240653,1555264.3975524479,Average,Above,Average,Average
2012-02-05,1,3.41,3.030584205512308,220.2652,220.8221492432557,9.0,21.81774193966332,7.348,7.718723612021968,1802477.43,1611105.9435535925,1555264.3975524479,Average,Above,Above,Above
2012-02-12,1,3.51,3.0106295855264915,220.4258,221.0328423884659,7.0,21.858650772603784,7.348,7.708806801709807,1819870.0,1612370.5514831191,1555264.3975524479,Average,Above,Above,Above
2012-02-19,1,3.56,2.9906749655406744,220.6369,221.24353553367612,14.0,21.899559605544248,7.348,7.698889991397648,1539387.8299999996,1613635.1594126462,1555264.3975524479,Average,Above,Average,Average
2012-02-26,1,3.63,2.9707203455548568,220.84799999999998,221.4542286788863,16.0,21.940468438484718,7.348,7.688973181085488,1688420.7600000002,1614899.767342173,1555264.3975524479,Average,Above,Average,Average
2012-03-04,1,3.67,2.95076572556904,221.0592,221.6649218240965,15.0,21.98137727142519,7.348,7.679056370773328,1675431.16,1616164.3752716999,1555264.3975524479,Average,Above,Average,Average
2012-03-11,1,3.73,2.9308111055832238,221.2118,221.87561496930672,18.0,22.022286104365655,7.348,7.6691395604611685,1677472.7799999998,1617428.9832012272,1555264.3975524479,Average,Above,Average,Average
2012-03-18,1,3.79,2.910856485597406,221.2864,222.08630811451687,19.0,22.063194937306122,7.348,7.659222750149008,1511068.0699999996,1618693.591130754,1555264.3975524479,Average,Above,Average,Average
2012-03-25,1,3.84,2.890901865611589,221.361,222.29700125972712,20.0,22.104103770246603,7.348,7.6493059398368475,1649604.6300000004,1619958.1990602813,1555264.3975524479,Average,Above,Average,Average
2012-04-01,1,3.89,2.8709472456257723,221.4356,222.50769440493735,21.0,22.145012603187066,7.143,7.639389129524688,1899676.88,1621222.8069898083,1555264.3975524479,Average,Above,Above,Above
2012-04-08,1,3.89,2.8509926256399547,221.5102,222.71838755014755,21.0,22.18592143612753,7.143,7.629472319212528,1621031.7,1622487.4149193354,1555264.3975524479,Average,Above,Average,Average
2012-04-15,1,3.88,2.8310380056541384,221.5641,222.9290806953578,19.0,22.226830269068,7.143,7.619555508900369,1521577.87,1623752.0228488622,1555264.3975524479,Average,Above,Average,Average
2012-04-22,1,3.81,2.8110833856683213,221.6179,223.139773840568,20.0,22.267739102008466,7.143,7.609638698588211,1468928.37,1625016.630778389,1555264.3975524479,Average,Above,Average,Average
2012-04-29,1,3.75,2.791128765682504,221.6718,223.3504669857782,24.0,22.308647934948937,7.143,7.599721888276049,1684519.9899999998,1626281.2387079159,1555264.3975524479,Average,Above,Average,Average
2012-05-06,1,3.69,2.771174145696687,221.7257,223.5611601309884,23.0,22.3495567678894,7.143,7.589805077963891,1611096.0499999996,1627545.8466374432,1555264.3975524479,Average,Above,Average,Average
2012-05-13,1,3.63,2.7512195257108703,221.7427,223.7718532761986,21.0,22.390465600829867,7.143,7.5798882676517305,1595901.87,1628810.45456697,1555264.3975524479,Average,Above,Average,Average
2012-05-20,1,3.56,2.731264905725053,221.7449,223.98254642140884,25.0,22.431374433770337,7.143,7.569971457339571,1555444.5499999996,1630075.0624964968,1555264.3975524479,Average,Above,Average,Average
