Unnamed: 0,ID,Store,Start_of_Week,Week_Date,Fuel_Price,CPI,Unemployment,Type,Size,Week,Year,Temperature_C,Holiday_Name,Weekly_Sales,Ave_Sales,Label
0,0,1,2010-01-30,2010-02-05,2.57,211.0964,8.106,A,151315,5,2010,6.0,No Holiday,1643690.9000000004,1555264.3975524479,Above
1,1,1,2010-02-06,2010-02-12,2.55,211.2422,8.106,A,151315,6,2010,4.0,No Holiday,1641957.4400000006,1555264.3975524479,Above
2,2,1,2010-02-13,2010-02-19,2.51,211.2891,8.106,A,151315,7,2010,4.0,No Holiday,1611968.169999999,1555264.3975524479,Above
3,3,1,2010-02-20,2010-02-26,2.56,211.3196,8.106,A,151315,8,2010,8.0,No Holiday,1409727.59,1555264.3975524479,Below
4,4,1,2010-02-27,2010-03-05,2.62,211.3501,8.106,A,151315,9,2010,8.0,No Holiday,1554806.68,1555264.3975524479,Below
5,5,1,2010-03-06,2010-03-12,2.67,211.3806,8.106,A,151315,10,2010,14.0,No Holiday,1439541.59,1555264.3975524479,Below
6,6,1,2010-03-13,2010-03-19,2.72,211.2156,8.106,A,151315,11,2010,13.0,No Holiday,1472515.7900000003,1555264.3975524479,Below
7,7,1,2010-03-20,2010-03-26,2.73,211.018,8.106,A,151315,12,2010,11.0,No Holiday,1404429.9199999995,1555264.3975524479,Below
8,8,1,2010-03-27,2010-04-02,2.72,210.8204,7.808,A,151315,13,2010,17.0,No Holiday,1594968.2799999998,1555264.3975524479,Above
9,9,1,2010-04-03,2010-04-09,2.77,210.6229,7.808,A,151315,14,2010,19.0,No Holiday,1545418.5300000003,1555264.3975524479,Below
10,10,1,2010-04-10,2010-04-16,2.81,210.4887,7.808,A,151315,15,2010,19.0,No Holiday,1466058.2800000003,1555264.3975524479,Below
11,11,1,2010-04-17,2010-04-23,2.8,210.4391,7.808,A,151315,16,2010,18.0,No Holiday,1391256.1199999996,1555264.3975524479,Below
12,12,1,2010-04-24,2010-04-30,2.78,210.3895,7.808,A,151315,17,2010,20.0,No Holiday,1425100.71,1555264.3975524479,Below
13,13,1,2010-05-01,2010-05-07,2.84,210.34,7.808,A,151315,18,2010,23.0,No Holiday,1603955.12,1555264.3975524479,Above
14,14,1,2010-05-08,2010-05-14,2.85,210.3374,7.808,A,151315,19,2010,24.0,No Holiday,1494251.4999999998,1555264.3975524479,Below
15,15,1,2010-05-15,2010-05-21,2.83,210.6171,7.808,A,151315,20,2010,25.0,No Holiday,1399662.0700000005,1555264.3975524479,Below
16,16,1,2010-05-22,2010-05-28,2.76,210.8968,7.808,A,151315,21,2010,27.0,No Holiday,1432069.9500000004,1555264.3975524479,Below
17,17,1,2010-05-29,2010-06-04,2.7,211.1764,7.808,A,151315,22,2010,27.0,No Holiday,1615524.7099999997,1555264.3975524479,Above
18,18,1,2010-06-05,2010-06-11,2.67,211.4561,7.808,A,151315,23,2010,27.0,No Holiday,1542561.0900000003,1555264.3975524479,Below
19,19,1,2010-06-12,2010-06-18,2.64,211.4538,7.808,A,151315,24,2010,29.0,No Holiday,1503284.0600000003,1555264.3975524479,Below
20,20,1,2010-06-19,2010-06-25,2.65,211.3387,7.808,A,151315,25,2010,29.0,No Holiday,1422711.5999999996,1555264.3975524479,Below
21,21,1,2010-06-26,2010-07-02,2.67,211.2235,7.787000000000001,A,151315,26,2010,27.0,No Holiday,1492418.14,1555264.3975524479,Below
22,22,1,2010-07-03,2010-07-09,2.64,211.1084,7.787000000000001,A,151315,27,2010,27.0,Independence Day,1546074.1800000004,1555264.3975524479,Below
23,23,1,2010-07-10,2010-07-16,2.62,211.1004,7.787000000000001,A,151315,28,2010,28.0,No Holiday,1448938.9199999997,1555264.3975524479,Below
24,24,1,2010-07-17,2010-07-23,2.61,211.2351,7.787000000000001,A,151315,29,2010,29.0,No Holiday,1385065.2000000002,1555264.3975524479,Below
25,25,1,2010-07-24,2010-07-30,2.64,211.3699,7.787000000000001,A,151315,30,2010,28.0,No Holiday,1371986.5999999996,1555264.3975524479,Below
26,26,1,2010-07-31,2010-08-06,2.63,211.5047,7.787000000000001,A,151315,31,2010,31.0,No Holiday,1605491.7799999998,1555264.3975524479,Above
