ID,ds,y
9425,2010-01-04,54.23
9426,2010-01-05,53.689999
9427,2010-01-06,53.57
9428,2010-01-07,53.599998
9429,2010-01-08,53.330002
9430,2010-01-11,54.209999
9431,2010-01-12,54.73
9432,2010-01-13,55.009998
9433,2010-01-14,54.209999
9434,2010-01-15,53.68
9435,2010-01-19,54.029999
9436,2010-01-20,53.860001
9437,2010-01-21,52.919998
9438,2010-01-22,52.939999
9439,2010-01-25,52.880001
9440,2010-01-26,53.610001
9441,2010-01-27,53.400002
9442,2010-01-28,52.610001
9443,2010-01-29,53.43
9444,2010-02-01,53.48
9445,2010-02-02,53.490002
9446,2010-02-03,54.27
9447,2010-02-04,52.970001
9448,2010-02-05,53.450001
9449,2010-02-08,52.93
9450,2010-02-09,53.25
9451,2010-02-10,53.240002
9452,2010-02-11,53.080002
9453,2010-02-12,52.900002
9454,2010-02-16,53.560001
9455,2010-02-17,54.060001
9456,2010-02-18,53.470001
9457,2010-02-19,53.490002
9458,2010-02-22,53.830002
9459,2010-02-23,53.619999
9460,2010-02-24,53.919998
9461,2010-02-25,54.150002
9462,2010-02-26,54.07
9463,2010-03-01,53.900002
9464,2010-03-02,53.59
9465,2010-03-03,53.66
9466,2010-03-04,53.959999
9467,2010-03-05,54.139999
9468,2010-03-08,54.150002
9469,2010-03-09,54.060001
9470,2010-03-10,53.630001
9471,2010-03-11,53.970001
9472,2010-03-12,53.900002
9473,2010-03-15,55.419998
9474,2010-03-16,55.990002
9475,2010-03-17,55.919998
9476,2010-03-18,55.939999
9477,2010-03-19,55.34
9478,2010-03-22,55.619999
9479,2010-03-23,55.889999
9480,2010-03-24,55.580002
9481,2010-03-25,55.610001
9482,2010-03-26,55.509998
9483,2010-03-29,55.740002
9484,2010-03-30,55.91
9485,2010-03-31,55.599998
9486,2010-04-01,55.490002
9487,2010-04-05,55.490002
9488,2010-04-06,55.529999
9489,2010-04-07,55.279999
9490,2010-04-08,55.380001
9491,2010-04-09,55.07
9492,2010-04-12,55.02
9493,2010-04-13,54.720001
9494,2010-04-14,54.639999
9495,2010-04-15,54.130001
9496,2010-04-16,54.110001
9497,2010-04-19,54.389999
9498,2010-04-20,54.52
9499,2010-04-21,54.470001
9500,2010-04-22,54.490002
9501,2010-04-23,54.529999
9502,2010-04-26,54.040001
9503,2010-04-27,54.040001
9504,2010-04-28,53.610001
9505,2010-04-29,53.700001
9506,2010-04-30,53.639999
9507,2010-05-03,53.740002
9508,2010-05-04,54.02
9509,2010-05-05,54.77
9510,2010-05-06,53.23
9511,2010-05-07,52.400002
9512,2010-05-10,52.580002
9513,2010-05-11,52.459999
9514,2010-05-12,52.48
9515,2010-05-13,52.400002
9516,2010-05-14,52.119999
9517,2010-05-17,52.73
9518,2010-05-18,53.709999
9519,2010-05-19,53.040001
9520,2010-05-20,51.299999
9521,2010-05-21,51.369999
9522,2010-05-24,51.0
9523,2010-05-25,50.279999
9524,2010-05-26,50.02
9525,2010-05-27,50.700001
9526,2010-05-28,50.560001
9527,2010-06-01,50.919998
9528,2010-06-02,51.720001
9529,2010-06-03,51.720001
9530,2010-06-04,50.400002
9531,2010-06-07,50.740002
9532,2010-06-08,50.779999
9533,2010-06-09,50.990002
9534,2010-06-10,51.220001
9535,2010-06-11,50.860001
9536,2010-06-14,51.240002
9537,2010-06-15,51.639999
9538,2010-06-16,50.98
9539,2010-06-17,51.41
9540,2010-06-18,51.549999
9541,2010-06-21,51.02
9542,2010-06-22,50.68
9543,2010-06-23,50.810001
9544,2010-06-24,50.029999
9545,2010-06-25,48.799999
9546,2010-06-28,49.57
9547,2010-06-29,48.900002
9548,2010-06-30,48.07
9549,2010-07-01,48.34
9550,2010-07-02,48.0
9551,2010-07-06,48.57
9552,2010-07-07,48.919998
